SENTENCE A,SENTENCE B,label
a bicyclist is holding a bike over his head in a group of people,there is no cold cyclist celebrating,0
there is no girl filing her nails,a girl is filing her nails,1
there is no tan dog jumping up and catching a tennis ball,a red dog is jumping and catching a tennis ball in its mouth,0
a boy is wearing a white hat and is running on the beach,a boy is wearing a white hat and is walking on the beach,0
a woman is cutting broccoli,a man is slicing tomatoes,0
a dog is running downhill,a dog is running uphill,0
there is no baby playing with a dog,a baby is playing with a dog ,1
a yellow palm is in front of a building and one dark skinned male is standing next to it,the dark skinned male is standing on one hand in front of a yellow building,0
a woman is peppering green slices,the woman with a knife is slicing a pepper,0
a person in a motocross uniform is wearing a helmet and rides a red motorcycle,a racer in full gear wears a helmet with sponsor logos and is riding a blue sport motorcycle,0
a dog is jumping high into the air in the country,a dog is jumping in the shade of some trees,0
there is no dog walking along a snowdrift,a dog is walking along a snowdrift,1
two dogs are playing on a sandy beach,two dogs are playing on a rocky beach,0
two men are not holding fishing poles,two men are standing near the water and are holding fishing poles,1
two men are fighting,a couple of boys are playing a video game,0
a woman is boiling shrimps,there is no woman combing her hair,0
a man is standing on a sidewalk,a man is sitting on a sidewalk,0
the men are performing on stage,mimes are performing on a small stage,0
a horse is standing,a horse is running,0
the man is cautiously operating a stenograph,a man is typing on a machine used for stenography,0
a climber is parking with the children by a small statue,small children are climbing a statue in a park,0
a great dog is climbing a steep hill,a light brown dog is running up a street,0
some horses are racing furiously over the green grass and jumping an obstacle,the jockeys are slowing down their horses on the field which is completely green,0
a girl in a white dress is standing,a little girl is smiling and running outside,0
the white dog is not wearing reindeer ears and isnt near a brown dog,the white dog wearing reindeer ears is near a brown dog,1
a man is sitting in a field,a person is wearing a hat and is sitting on the grass,0
the surfer is riding a small wave,the surfer is riding a big wave,1
a man is cooking a snake,the man is dropping sliced cucumbers into cold water,0
a young boy is jumping into a still lake,a young boy in the blue shirt is jumping into the water,0
two boys are studying,two boys are playing a video game,0
a yellow cat is chasing a ball,a yellow dog is chasing a ball,0
nobody is fist fighting in a ring,the men are fist fighting in a ring,1
a person is scrubbing a zucchini,a person is packing a zucchini,0
there is no man running on the road,a man is running on the road,1
there is no girl applying makeup to her face,a woman is putting on makeup,0
a man is holding a small animal in one hand,a man is holding a big animal in one hand,0
a woman is snowboarding down an incline and another woman is standing behind her,there is no woman snowboarding down an incline and there is no other woman standing behind her,1
a black dog is running in the grass and its tongue is hanging out,a black dog is sitting in the grass and keeping its mouth closed,1
some people are treading through the snow of the beautiful snowy landscape,four people are standing in thick snow and the sun is rising,0
a man is climbing a rope,the man is not climbing up a rope,0
a little girl is wearing a blue patterned swim suit a black and yellow swim cap and has blue swimming goggles on the head,a young girl is sitting in swimming gear,0
a man is cutting a paper,a person is not tearing paper,0
a boy wearing red shorts is jumping into a paddling pool,a young boy wearing a red swimsuit is jumping out of a blue kiddies pool,0
the priest is walking down the aisle to marry a couple,the bride and the groom are leaving after the wedding,0
a little boy is sitting in a green tunnel with a smile on his face,a small shirtless boy is sliding into a green tube,0
two men are dancing and singing in front of a crowd,the women are singing and dancing,0
a skateboarder is jumping in the air,a man in a red shirt is doing a trick with the skateboard,0
the girl is standing on the couch and crocheting,the girl is sitting on the couch and is crocheting,0
a man in a red uniform is racing and making a jump over a bike in the dirt,a man is participating in a bmx race,0
a man is chopping butter into a container,a prawn is being cut by a woman,0
a small group of people are standing and two are sitting on the couch,a group of five young adults are lounging indoors,0
the meat is being dropped into a pan,there is no woman putting meat in a pan,0
the woman is putting down the kangaroo,the woman is picking up the kangaroo,1
a woman is slicing a big pepper,the woman is slicing a clove of garlic,0
there is no brown duck with a green head flapping its wings in the water,a brown duck with a green head is flapping its wings in the water,1
there is no kid playing guitar,a boy is playing a guitar,1
the woman is waterskiing,the woman is not waterskiing,1
people are far from a beach full of sand by the ocean and are suffering from the sunny day,a bunch of people is on the shore,0
two people are riding a bike,nobody is riding a bike,1
the woman dressed in leather chaps and a purple shirt is standing in front of onlookers,the man dressed in leather chaps and a purple shirt is standing in front of someone lookers,0
someone is falling off a horse,a horse is falling on someone,0
there is no snowboarder doing a flip over a mound of snow,a snowboarder is doing a flip over a mound of snow,1
a boy is jumping off a platform and two other boys are standing and watching,a boy is jumping on a platform and two other boys are sitting absentmindedly,0
the man isnt talking on the telephone,the man is talking on the telephone,1
the man is not riding a mechanical bull,the man is riding a mechanical bull,1
there is no man wearing a long sleeved blue shirt and jeans and riding a unicycle down a street,a man is wearing a long sleeved blue shirt and jeans and is riding a unicycle down a street,1
Yes it works for all apple products that dont have the lightning adapter charging port. So it would work for the ipod classic.,No it will not work on either on of my iPods,1
two young men are sitting outside near a golden statue,two people are looking at a gold statue,0
two dogs are wrestling and hugging,a brown dog is attacking another animal in front of the tall man in pants,0
a tan dog is splashing in the water on the bank of a pond,a light brown dog is sprinting in the water,0
the man is kick boxing with a trainer,the man is not kick boxing with a trainer,1
a woman is riding a horse,a woman is not riding a horse,1
"Yes. Provided you keep it charged. Essentially, it is a spare battery pack and will charge my iPhone completely in less than an hour.",Yes just make sure you keep it charged. With a full charge it will charges your phone 3 or 4 times.,0
someone is playing a piano,there is no one playing a piano,1
a man in a purple suit is standing by a purple case and is playing a guitar,the man is putting away the guitar in the guitar case,0
two dogs are frolicking in the snow,a brown dog and a gray dog are playing in the snow,0
the rider on the blue and black motocross bike is not wearing the pants,the motocross rider is wearing blue and black pants,0
a boy is climbing up a wall artificially built for climbing and is attached to a rope,a fearful little boy is on a climbing wall,0
"Yes. It will be a little slower than your wall charger, obviously, but it will charge it.",Yes. I charge both my lenovo a1 tablet and my moto x with this.,0
a woman in a shirt dyed in black is sitting next to a fluorescent green bag,a woman is speaking on her cell phone and is keeping a purse and a yellow bag on the near ledge,0
a woman is cooking eggs,the woman is not cooking something,1
the woman is removing make-up,a woman is putting make-up on,1
the lady is holding the paintbrush next to the artists easel ,the girl in the blue coverall is painting,0
a dog is fetching a stick out of very clear water,a small black and white dog is biting a stick and is swimming,0
a man is watering the grass and excitedly playing with a dog,the dog is snapping at some droplets of water,0
a black shirt is being worn by a man who is sitting at the table and laughing,a man is sitting comfortably at a table,0
a woman is putting on some makeup carefully,the band is singing ,0
a person is riding the bicycle on one wheel,there is no man in a black jacket doing tricks on a motorbike,0
the people are standing at a parade,a group of people is gathering at a stand at the fair,0
the young girl with a pink shirt is peacefully lying on the grass,a girl is naked and is standing on the grass,0
a woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,there is no woman wearing a blue shirt with a white vest and a white cap talking and marching,1
a girl is wearing a pink shirt with white writing on it and is lying in the grass,a girl is naked and is standing on the grass,0
a cowgirl is riding a horse and corners a barrel,the brown horse is near a red barrel at the rodeo,0
a dog is running across a rocky landscape,a black dog is walking along rocky terrain,0
the man is adding seasoning to the water in a bowl,the man is seasoning the sausages,0
a child is hitting a baseball,a family is watching a little boy who is missing a baseball,0
a tomato is being sliced by a woman,a woman is peeling a potato,0
a dog is running on the sand and chasing a ball,a dog is running on the grass and chasing a ball,0
there is no man driving the car,a man is driving a car,1
a man is doing back flips on a trampoline,there are no kids jumping on a trampoline,0
a boy is climbing up a wall artificially built for climbing and is attached to a rope,a fearful little boy is on the ground,0
the boys are standing in front of the burning car,the boys are standing and burning a car,0
a man a woman and two girls are walking on the beach,a man a woman and two girls are sitting on the beach,0
three friends are making faces for a photo,two men and a girl in front of a wood panel wall are posing with funny faces,0
there is no man walking along a path through a wilderness,a man is walking along a path through a wilderness,1
a person is being kicked by a monkey,a monkey is practicing martial arts,0
a woman is pulling some sticky goo out of a bowl,pasta is being put into a dish by a woman,0
two men are doing a skit which is very funny with a boxer in front of a crowd of people,boys are dancing in front of some people,0
a woman is slicing a cucumber,a woman is jumping rope outside,0
several swimmers are dashing into the water,several swimmers are jumping into the water,0
this strong box was made by tony,this weak box was made by tony,1
one girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water,one boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,0
a man is squirting water into the mouth of a white dog with a squirt gun,the man is spraying a super soaker into the mouth of the dog,0
a dog that has a white and brown colored coat is trotting through shallow water,a white and brown dog is walking through the water with difficulty,0
a man on a motorcycle is riding on one wheel,the performer is tricking a person on a motorcycle,0
a man is playing a guitar,someone is playing a piano,0
some kittens are hungry,some kittens are eating,0
a woman is riding on an elephant,a man is opening a soda and drinking it,0
the woman is pouring oil into a skillet,one chimp is angrily kicking the target,0
a boy is whacking a man with a sword,a man is whacking a boy with a sword,0
a dog is standing on the side of a mountain,a black dog is standing on a grassy hillside,0
one man is climbing a rock wall and another man is holding a rope,one climber is holding a rock and another man is roping a wall,0
a couple is sitting on a patio and looking at the ocean,two adults are sitting in the chairs and are watching the ocean,0
a man is talking,a man is laughing,0
the monkey is practicing martial arts,a gloved person is kicking at the hand of a monkey,0
there is no man spitting,a man is talking,0
there is no man doing pull-ups,a man is doing pull-ups,1
some dogs are playing in a stream,two cats are looking at something that is splashing in the water,0
a man is playing the guitar,the man is silent and still,0
the dog is running through the wet sand,a dog is running on the sea shore,0
a person is burning some cameras with a blow torch,a person is repairing some cameras with a blow torch,0
a man is doing a card trick,there is no man doing a card trick,1
a dog is jumping in the air to catch a red ball,a dog which is small is playing on the green grass,0
there is no man sitting on the chair,the girl who is little is combing her hair into a pony tail,0
people are walking outside a building that has many murals on it,nobody is in front of the colorful building,0
a woman is slicing meat with a sharp knife,a man is spreading dough,0
there is no young child standing in front of some trees,a young child is standing in front of some trees,1
a boy is wearing a white hat and is running on the beach,a little kid is wearing a hat and is walking in the wet sand,0
a woman is looking down and is wearing a wedding dress,a bride with a white veil is looking down,0
a laughing man is dyeing a shirt black on the table which you cannot sit at ,a man wearing a dyed black shirt is sitting at the table and laughing,0
people are sitting against a wall,five adults are sitting on stone steps,0
the man is doing exercises,a person is putting meat into a skillet,0
a man is in a parking lot and is playing tennis against a large wall,a man is in a parking lot and is playing tennis against a friend,0
the large brown dog is not running outside in the dirt,the large brown dog is running outside in the dirt,1
a monkey is riding a bike,a bike is being ridden over a monkey,0
a bicyclist is performing a trick over a heavily graphitized wall,a cyclist is performing a jump on a bicycle,0
some men are staring at the big green hills in the distance,three men are looking into the distance,0
a little black dog is chasing a little brown dog,a brown dog and a black dog are in the grass,0
some cats are playing with each other,two cats are fighting each other,0
a man is mixing the content of a bowl,a woman is mixing the content of a bowl,0
five adults are sitting on a chair,people are sitting against a wall,0
a baby is cheerfully playing with a dog,a small boy is playing with a dog,0
two men are killing with fishing poles,two men are holding fishing poles and fishing tackle,1
the boys are standing in front of the car which is burning,four young men are standing still and a car is exploding behind them,0
a girl is skipping rope on a sidewalk,a boy is jumping rope on a sidewalk near a parking garage,0
the milk is being drunk by a cat,a drunk man is milking a cat,0
the piano isnt being played by anyone,the piano is being played by someone,1
a woman is chopping garlic,there is no woman slicing a fish,0
a man on a horse is riding on a track and waving,the person on the motorcycle is holding up an arm,0
some young dirt bikers are getting a dirt bike up a sandy hill,a young man is pushing a motocross bike up a dirt hill,0
a woman is slicing a fish,garlic is being chopped by a woman,0
a dog is running on a muddy path,a dog is running on a snowy path,0
a woman is wearing a colorful shirt and a lot of jewelry,a man with indian clothing and henna on his hand is going through paperwork,0
a tiger is walking around,a tiger cub is making a sound,0
No.  These rely on other hardware (often a desk phone) to mute the microphone.,There is no mute on the headset.  There is a gotcha! You have to order the adapted plug/ cord separately.   I learned that the hard way.  Once you've paid extra for that I have to say that they do work great.,0
a man is riding a rodeo bull,a man is riding a mechanical bull,0
there is no young child dressed for cold weather standing outside,a young child dressed for cold weather is standing outside,1
a man is sharpening a knife,a man is carrying a woman,0
a man is putting down an electronic device,the man is taking a picture of himself and another guy,0
a barefoot man in pajamas is looking toward the sky and is standing on the tennis court,a man is wearing a blue shirt and walking barefoot on a tennis court,0
two children are rolling in muddy water,two boys are laying in the water close to the beach,0
the man is playing a harp,a man is playing a violin,0
a dog is fetching a stick out of very clear water,a dog is fetching a stick out of very dirty water,0
a snowboarder is grinding down a long concrete rail,there is no snowboarder grinding down a long concrete rail,1
people are walking across a rope bridge over a rocky stream,the man is eating potato slices,0
a young child is splashing in the water,there is no young child splashing in the water,1
women are wearing bunny ears and race numbers and are pointing at something in the distance,several women are wearing pink bunny ears and are pointing to the right,0
the man is cleaning the drawing on the board,the man is erasing the other mans work from the board,0
the football is between the feet of a boy who is lying on the grass,the little kid is playing football and falling into the grass,0
a dog with a blue collar is not playing with the ball outside,a grey dog is bouncing a soccer ball on its head in a grass field,0
it is snowing on two playing dogs,a brown dog and a gray dog are playing in the snow,0
two men with bikes are on the side of a snowy road,two men are taking a break from a trip on a road covered by snow,0
the man is not riding a mechanical bull,a man is riding a mechanical bull,1
a person is riding a dirt bike down a dirt hill,a person is riding a bike along the trail,0
the woman is not picking up a baby kangaroo,the woman is picking up a baby kangaroo,1
the sun is shining on the face of the girl who is in a yellow dress,children are surrounding a girl in a brown dress who is closing her eyes,0
a woman is peeling a potato,the man is eating potato slices,0
a woman is slicing a fish,a woman is not chopping garlic,0
there is no man playing the guitar,a man is playing the drums,0
soccer players are kicking a soccer ball into the goal,there are no soccer players kicking a soccer ball into the goal,1
there is no man running jumping and kicking near a vending machine,three men are jumping off a wall,0
a woman in a white dress and a woman in a blue dress are standing on a stage,two teenage girls are wearing fancy dresses at an event,0
a black and a white dog are joyfully running on the grass,one white dog and one black one are running side by side on the grass,0
a woman is standing at the beach with a dog on a leash,a woman in a bikini is pulling a dog on a leash at the seashore,0
a man is talking,a man is spitting,0
a couple is running towards the ocean,a man and a woman are standing together and holding hands,0
a little girl is peddling a scooter,a baby elephant is eating a small tree,0
a lemur is hanging on a rope,a man is buttering a piece of bread,0
a woman dressed in elegant clothing is inside a crowd of people and is looking down,a fur scarf is being held by an asian woman,0
a woman is playing the trumpet,a man is playing the trumpet,0
a group of boys are quiet in front of a large door made of wood,a group of boys are playing with a ball in front of a large door made of wood,0
a woman is slicing a tomato,a man is cutting a potato,0
a lady is cutting up some meat,there is no lady cutting up some meat,1
a man is picking up a tree,a man is carrying a plant,0
a man on a bike is riding on the shore,a person is riding a bicycle in the sand beside the ocean,0
nobody is practicing water safety and wearing preservers,this group of people is practicing water safety and wearing preservers,1
a family is posing by the mantel and the christmas tree,a sad family is posing by the fireplace,0
a dog is catching a ball in mid air,a brown and white dog is leaping in the air with a tennis ball in its mouth,0
a man is exercising,a happy baby is laughing,0
there is no person pouring olive oil into a pot on the stove,a person is pouring olive oil into a pot on the stove,1
the drums are being played by a man,a man is playing the guitar,0
a woman is picking a can,a woman is cutting a tomato,0
a woman is collecting tap water in a mug,a woman is emptying the water from a mug,0
two bmx bikers are jumping dirt ramps in front of a body of water,some bikers are getting airborne on a track near water and a skyline,0
a prawn is being cut by a woman,a woman is cutting shrimps,0
two daschunds are playing with a red ball,two brown dogs are fighting over a red toy and are playing in the grass,0
a girl is wearing a pink shirt with white writing on it and is lying in the grass,the young girl with a shirt dyed pink is peacefully lying on the grass,0
several people are in front of a colorful building,people are walking inside a building that has many murals on it,0
a woman is not riding a horse,a woman is riding a horse,1
a lemur is hanging on a cord,a man is buttering a piece of bread,0
a brown and white dog is jumping in the air with a tennis ball in its mouth,a brown and white dog is resting on the ground with a tennis ball in its mouth,1
a person is standing on a mountain top,one man is standing on the top of the rocks with clouds behind them,0
there is no young asian woman with pink gloves standing in the snow,a young asian woman with pink gloves is standing in the snow,1
three boys are jumping off a platform,a boy is jumping off a platform and two other boys are standing and staring at him,0
the band is singing ,a woman is carefully removing her makeup,0
two baby pandas are playing,two panda bears are lying together,0
a person is cementing a jacket in a blue tall wall and jumping,the man is performing a large jump,0
a girl in a uniform which is blue is quickly raising her arm,the girl in the blue and white uniform is cheering,0
three small cats is sniffing at something,three dogs are resting on a sidewalk,0
an animated airplane is landing,a plane is taking off,0
there is no man playing guitar next to a drummer,a man is playing guitar next to a drummer,1
a man in a black hat is reaching for a box,a man in a black hat is touching a cardboard box,0
an ice skating rink placed outdoors is full of people,an ice skater is outdoors performing on a rink full of people,0
a black dog with a red collar is putting its face in the water,a black dog is standing in shallow water,0
a dog is jumping on a diving board,a dog is bouncing on a trampoline,0
there is no man tying a shoe,a man is tying a shoe,1
two young boys are wearing hats and sticking their colored tongues out,two young girls are wearing hats and sticking their colored tongues out,0
a person is not playing the keyboard,a man is playing a keyboard,1
a young topless woman is covered in paint,a nude lady is walking in front of many people in body paint,0
a group of kids is playing in a yard and an old man is standing in the background,a group of boys in a yard is playing and a man is standing in the background,0
a man is pouring a plate of shredded cheese into a pot of sauce,a man is taking a plate of shredded cheese off of a pot of sauce,0
the man is playing a game on the grass,there is no man playing a game on the grass,1
a woman is cutting tofu,a woman is not cutting tofu,1
a child in a green and white sports uniform is resting on the grass,a child in a green and white sports uniform is running over the grass,1
the woman is putting pasta into a dish,the woman is not putting pasta into a dish,1
a person is snowboarding down a railing in the snow,a man is skiing down a hill and over a red obstacle,0
a young boy with painted face is standing next to some other children,a young girl with painted face is standing next to some other children,0
a deer is jumping a fence,there is no deer jumping fences,1
a woman who is old is near a white dog,a woman and a dog are standing near a tree stump,0
there is no man playing guitar,a man is playing guitar,1
the dark skinned male is standing on one hand in front of a yellow building,the dark skinned male is not standing on one hand in front of a yellow building,1
a girl is wearing jeans and a pink shirt and is running,a girl is running with a pink shirt and is not wearing jeans,0
a small brown and white spotted dog is lying on a jacket on the street,the dog is having a rest in the park,0
a dog in a colored coat is running across the yard,there is no dog in a colored coat running across the yard,1
a woman in blue has a yellow ball in the hand,the girl in blue is chasing the base runner with a number on the jersey,0
two children are stretching over some metal bars,a bike rider in a black and red uniform is standing on a dirt bike,0
a man is crouching and holding a camera,a woman is crouching and holding a camera,0
a smiling boy in summer clothes is standing still outside a building,a smiling boy in winter clothes is waving his mittened hands outside a building in the snow,0
a monkey is kicking a person,a monkey is practicing martial arts,0
there is no man playing a bamboo flute,the man is playing a flute,0
a brown dog is carrying a colored toy in the grass,a brown dog is dropping a colored toy from its mouth,0
the rhino is grazing on the grass,the rhino is not grazing on the grass,1
two cubs are playing,two pandas are lying together,0
there is no dog riding a skateboard,a dog is riding a skateboard,1
a young boy is jumping into water,a child is wearing a yellow jacket and is jumping on a rock,0
the girl who is little is combing her hair into a pony tail,a man in a red shirt is doing a trick with the rollerblades,0
the children are playing in front of a large door,a ball made of wood is being played through a door in front of a large group of boys ,0
a dog is leaping high in the air and another is watching,two dogs are sleeping by a tree,0
an officer is talking to the recruits,an officer is listening to the recruits,0
there is no young lady with light brown hair wearing a red necklace a sweatshirt and earrings and smiling,a young lady with light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling,1
a person is pouring olive oil into a pot on the stove,a person is pouring olive oil into the stove from a pot,0
batteries  and charger,"only charger, headphones and cell phone",1
a person is looking into the distance and people is walking between buildings behind,a black man is walking next to a building in a big city,0
a young child is wearing green boots and playing in a puddle full of mud,a little boy is jumping into a puddle on the street,0
a boy is standing outside the water,a boy is standing in the water,0
the girl is spraying the plants with water,the boy is spraying the plants with water,0
the man is slicing a potato,the man is not slicing a potato,1
a brown puppy is biting a pole,a brown puppy is biting a stick,0
the man is not drawing,a man is drawing,1
a girl in blue is sliding down a green slide,the young girl in blue is having fun on a slide,0
a person is riding a bike along a muddy trail,a person is riding a dirt bike down a dirt hill,0
there is no man patting an alligator on the mouth,a man is patting an alligator on the mouth,1
a woman is placing food in a pot of hot water,a woman is placing food in a pot of cold water,1
the woman is chopping some bread and fried pork,the woman is frying a breaded pork chop,0
the children of a family are playing and waiting,a person is chopping down a tree with an axe,0
the woman is wearing glasses and a black headdress,a woman is wearing an egyptian headdress,0
a little boy is watching a family that is hitting a baseball,a child is hitting a baseball,0
a man is shooting guns,a woman is riding an animal,0
the cop is sitting on a police bike,the cop is not sitting on a police bike,1
a little boy is wearing a green soccer strip and is running on the grass,a child in a green and white sports uniform is resting on the grass,0
a man is climbing a rope,a man is coming down a rope,0
a woman is not cutting shrimps,a woman is cutting shrimps,1
a man is sitting on the beach,a man is performing a handstand on the beach,0
four adults are doing backbends in the park,four kids are doing backbends in the park,1
the little kid is playing football and falling into the grass,the little kid is playing football and falling painfully into the grass,1
a man is dancing,there is no woman exercising,0
two women are sparring in a kickboxing match,two people are kickboxing and spectators are not watching,0
a man is pushing the buttons of a microwave,there is no man is pushing the buttons of a microwave,1
a man is dancing,there is no man dancing on the road,0
a tan dog is jumping up and catching a tennis ball,there is no tan dog jumping up and catching a tennis ball,1
a woman is playing with two young boys at a park,there is no woman playing with two young boys at a park,1
a man is throwing away a guitar,a man in a hat is playing a harp,0
a person near an onion has a cut,a person is cutting an onion,0
a man in a red jacket is standing next to a yellow kayak on some rocks by the ocean,there is no man in a red jacket standing next to a yellow kayak on some rocks by the ocean,1
a skier in black is catching a tiny bit of air,a man is skiing down a snowy hill,0
two men are doing a funny skit with a boxer in front of a crowd of people,some boys are in front of dancing people,0
a motorcyclist is riding a motorbike along a roadway,a motorcyclist is riding a motorbike safely along a river,1
the children are not wearing black tights and are not hopping,the children are wearing black tights and hopping,1
a woman is slicing a tomato,the woman is peeling a potato,0
a man is playing the guitar,a woman is slicing an octopus,0
a sea turtle is hunting for fish,the turtle is following the fish,0
i ate the pork even though it was undercooked,i ate the pork even though it was overcooked,1
a man is talking to a woman,a woman is breaking eggs,0
the man is wearing a wetsuit and is riding a surfboard,a surfer is leaning on a surfboard,0
a fish is being sliced by a man,a cat is jumping into a box,0
a white and tan dog is running through the tall and green grass,the lady is eating slices of meat,0
a dog is far from the red ball in the air,a dog which is small is playing on the green grass,0
Yes it will...No wires...Completely Wireless...I hope this was helpful...http://amzn.to/18TPEdx,"It will, though if you have a standard DIN size - probably just go the new headunit route with BT included. As for wiring adapters, the kit has some harnesses, but I personally needed to solder several of the connections. (Did this a while ago, too fuzzy to remember it.) I believe the schematics included explain the pinouts of the harness, but cars vary too widely to say ""Well, just match the colors.""",0
a woman with pigtails is climbing a rock wall,a woman with a ponytail is climbing a wall of rock,0
a black shirt is being worn by a man who is sitting at the table and laughing,a man wearing a dyed black shirt is sitting at the table and crying,1
a dog on a leash is walking in the water,the dog is on a leash and is walking out of the water,0
a white and brown dog is walking through the water with difficulty,a dog that has a brown and white coat is trotting through shallow water,0
the woman is poking a potato,there is no man riding a motorcycle,0
a man on a green bike is performing tricks on a dirt ramp,a person on a bike is in the air near a body of water,0
two dogs are running through the beach,two dogs are running quickly through a park,0
a young lady with light brown hair is wearing a red necklace a sweatshirt and earrings and is smiling,the teenage girl is wearing beads that are red,0
people are not riding and paddling a raft,people are riding and paddling a raft,1
a man is repairing tiles with his hands,a man is breaking wooden boards with his hand,0
someone is playing with a frog,a man is playing the trumpet,0
a woman is putting some sticky goo in a bowl,the woman is putting pasta into a dish,0
a hiker is on top of the mountain and is dancing,a man is on a rock high above some trees and is standing in an uncomfortable position,0
the bunch of men are playing rugby on a muddy field,the bunch of men are not playing rugby on a muddy field,1
a baby is crawling happily,a baby is sitting,0
there is no dog riding a skateboard,a dog is riding a skateboard,1
a group of rollerbladers is scattering on the street,rollerbladers are rolling in formation down a hill,0
there is no biker jumping in the air,a lone biker is jumping in the air,1
a musician is playing two keyboards,a man is playing two keyboards,0
the woman is not walking the dog,the woman is walking the dog,1
a man is putting away a guitar,a man is playing a guitar,0
a woman is wearing sunglasses of large size and is holding newspapers in both hands,a newspaper is featuring a woman with large sized hands holding sunglasses and wearing a coat,0
the woman is not dancing,a woman is dancing in a cage,0
the man is stirring oil,the man is cooking sauce for the meat,0
a man in a purple hat is climbing a rocky wall with bare hands,the young man is rock climbing,0
three boys in karate costumes arent fighting,three men are practicing karate in a field,0
a laughing child is holding a water gun and getting sprayed with water,a child with a gun that sprays water is laughing and getting hit by other boys,0
a ping pong player is meeting with two people,a few animals are playing in the water,0
a woman is slicing meat with a knife,there is no woman slicing meat with a knife,1
a dog is running on concrete and is holding a ball,the large dog is walking outside and is carrying a colorful toy in its mouth,0
a woman is playing the violin,there is no woman playing the violin,1
the woman is pouring oil into the pan,the boy is playing a musical instrument,0
there is no man walking along a path through a wilderness,a man is peeling an onion,0
children covered by leaves are playing with red shirts,three kids are jumping in the leaves,0
the girl in blue is chasing the player with a number on the jersey,a woman in blue has a yellow ball in the mitt,0
there is no woman using a sewing machine,a girl is brushing her hair,0
a surfer is riding the wave,a woman in a yellow shirt is surfing on a pink surfboard,0
the man is denying an interview,a white car is being driven by the man,0
the man is not playing the drums,a man is pouring cleaner into the sink,0
some men are fighting,there are no men fighting,1
a boy is hanging a fishing rod and running in front of a fish ,a boy is running towards the fishing line,0
a dark black dog and a light brown dog are fighting in the backyard,a dog which is brown and a black one are running in the grass,0
a guy is leaping into the air in wood,a shirtless man is jumping over a log,0
a man is riding an electric bicycle,there is no man riding an electric bicycle,1
a man is making a bed,a person is eating at a table,0
a woman who is old is far from a white dog,a woman and a dog are sitting on a tree stump,0
the jockeys are riding horses on the field which is completely green,the black bird is sitting in a leafless tree,0
the man is cutting a paper plate,the man is not cutting a paper plate,1
a blonde lady is looking at a tower,there is no blonde lady looking at a tower,1
the dog is not knocking the boy into the water,the dog is knocking a boy into the water,1
a man dressed in black is wearing inline skates and performing acrobatics on a rail,a skateboarder is making a jump off a ramp,0
the dog is on a leash and is walking in the water,the dog is on a leash and is walking out of the water,1
a chubby faced boy is wearing sunglasses,a girl is wearing sunglasses,0
an animated airplane is landing,an animated airplane is taking off,0
two cows are fighting in a pasture by a man,two men are fighting in a cattle pen,0
a woman with blond hair is sitting on the roof of a yellow vehicle and two people are inside,two people are driving a jeep and a lady is sitting on the top of it,0
a man is not playing a guitar,a man is playing a guitar,1
the guitar player loves the man passionately,a person is singing and playing the guitar,0
a biker on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,the orange rider is driving a motorcycle on one wheel,0
someone is banging a camera lens against a nail,there is no one banging a camera lens against a nail,1
the jockeys are riding horses on the field which is completely green,some horses are racing furiously over the green grass and jumping an obstacle,0
several women are wearing pink bunny ears and are pointing to the right,women are not wearing bunny ears and race numbers and are not pointing at something in the distance,1
a person is passionately playing a guitar in front of an audience,a woman is peeling a potato,0
a man is passionately playing a guitar,the singer is playing the guitar in front of a person,0
a black and white dog is holding a baseball in its mouth,a brown and white dog is holding a baseball in its mouth,0
the sun is shining on the face of the girl who is in a yellow dress,a young black child is standing on the edge of a body of water near some buckets,0
the cat is playing with a device,the boy is playing in the mud,0
the lady is eating slices of meat,the lady is slicing up the meat,0
the man is standing on a rocky mountain and gray clouds are in the background,a black topless person is packing a pile of rocks and a front of clouds are in the background,0
several children are standing up,two girls are sitting on the ground,0
three men are dancing,there is no woman dancing,0
the little boy is not singing and playing the guitar,a baby is playing a guitar,0
a man is stopping in the middle of a road,the man is walking along a path through the wilderness,0
the black dog is carrying a blue and white ball in its mouth,a dog is running with a volleyball,0
the children of a family are patiently playing and waiting,three asian kids are dancing and a man is looking,0
a man is shooting a shotgun,someone is playing the guitar,0
a woman is dancing and a man is playing the keyboard,a woman is walking off a stage,0
a dog with a muzzle and a blue jacket is running around the yard,there is no dog with a blue blanket running through the grass,0
four people are walking across thick snow and the sun is setting,some people are treading through the snow of the landscape which is beautiful and snowy,0
a girl in a uniform which is blue is raising her arm,the girl in the blue and white uniform isnt cheering,0
"No, it doesn't work. Doesn't work for my iPhone 4 and just freezes my iPod.",Worked perfectly to me,1
a black sheep is standing near three white dogs,the white dogs are looking at the black llama,0
a baby rhino is walking around a pen with its mother,a baby rhino and its mother are standing in a pen,0
the violin is being played by a little girl on a beach,the girl is sitting on the couch and is crocheting,0
a black man is walking next to a building in a big city,a man is looking into the distance and people is walking between buildings behind,0
a blond boy is walking up a sand dune with a skateboard,a blond boy is sliding down a sand dune on a skateboard,0
